Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (21833099) (LOCKED),Nikola Jokic,21833099,C/UTIL,12000,Final,DEN,61.33
SF/PF,Giannis Antetokounmpo (21833101) (LOCKED),Giannis Antetokounmpo,21833101,SF/PF/F/UTIL,11800,Final,MIL,58.29
SF/PF,Kevin Durant (21833105) (LOCKED),Kevin Durant,21833105,SF/PF/F/UTIL,11600,Final,BKN,51.98
PG/SG,Kyrie Irving (21833109) (LOCKED),Kyrie Irving,21833109,PG/SG/G/UTIL,10900,Final,BKN,45.19
PG,Darius Garland (21833113) (LOCKED),Darius Garland,21833113,PG/G/UTIL,10200,Final,CLE,41.64
PG,Ja Morant (21833116) (LOCKED),Ja Morant,21833116,PG/G/UTIL,10100,Final,MEM,47.27
PG,Shai Gilgeous-Alexander (21833119) (LOCKED),Shai Gilgeous-Alexander,21833119,PG/G/UTIL,10000,Final,OKC,43.37
C,Domantas Sabonis (21833122) (LOCKED),Domantas Sabonis,21833122,C/UTIL,9900,Final,SAC,44.73
PG/SG,Tyrese Haliburton (21833124) (LOCKED),Tyrese Haliburton,21833124,PG/SG/G/UTIL,9800,Final,IND,37.53
PG,De'Aaron Fox (21833128) (LOCKED),De'Aaron Fox,21833128,PG/G/UTIL,9300,Final,SAC,38.94
PF/C,Pascal Siakam (21833131) (LOCKED),Pascal Siakam,21833131,PF/C/F/UTIL,9200,Final,TOR,44.11
PF,DeMar DeRozan (21833135) (LOCKED),DeMar DeRozan,21833135,PF/F/UTIL,8900,Final,CHI,43.80
PG,Jrue Holiday (21833141) (LOCKED),Jrue Holiday,21833141,PG/G/UTIL,8800,Final,MIL,38.52
PG,Damian Lillard (21833138) (LOCKED),Damian Lillard,21833138,PG/G/UTIL,8800,Final,POR,42.60
SG/SF,Khris Middleton (21833144) (LOCKED),Khris Middleton,21833144,SG/SF/F/G/UTIL,8700,Final,MIL,37.70
PG/SG,Fred VanVleet (21833149) (LOCKED),Fred VanVleet,21833149,PG/SG/G/UTIL,8700,Final,TOR,41.38
C,Jusuf Nurkic (21833153) (LOCKED),Jusuf Nurkic,21833153,C/UTIL,8600,Final,POR,36.15
SG,Zach LaVine (21833159) (LOCKED),Zach LaVine,21833159,SG/G/UTIL,8500,Final,CHI,39.29
PF/C,Wendell Carter Jr. (21833155) (LOCKED),Wendell Carter Jr.,21833155,PF/C/F/UTIL,8500,Final,ORL,35.18
C,Christian Wood (21833162) (LOCKED),Christian Wood,21833162,C/UTIL,8500,Final,HOU,38.21
C,Nikola Vucevic (21833168) (LOCKED),Nikola Vucevic,21833168,C/UTIL,8400,Final,CHI,41.69
SF/PF,Jimmy Butler (21833164) (LOCKED),Jimmy Butler,21833164,SF/PF/F/UTIL,8400,Final,MIA,41.03
C,Bam Adebayo (21833170) (LOCKED),Bam Adebayo,21833170,C/UTIL,8300,Final,MIA,40.56
PF/C,Evan Mobley (21833179) (LOCKED),Evan Mobley,21833179,PF/C/F/UTIL,8100,Final,CLE,33.53
SF/PF,Scottie Barnes (21833175) (LOCKED),Scottie Barnes,21833175,SF/PF/F/UTIL,8100,Final,TOR,33.60
SG,Josh Hart (21833172) (LOCKED),Josh Hart,21833172,SG/G/UTIL,8100,Final,POR,32.84
PG,Ben Simmons (21833183) (LOCKED),Ben Simmons,21833183,PG/G/UTIL,8000,Final,BKN,0
PG,Anfernee Simons (21833186) (LOCKED),Anfernee Simons,21833186,PG/G/UTIL,8000,Final,POR,28.34
SG/SF,Buddy Hield (21833189) (LOCKED),Buddy Hield,21833189,SG/SF/F/G/UTIL,7900,Final,IND,28.11
PG/SG,Josh Giddey (21833194) (LOCKED),Josh Giddey,21833194,PG/SG/G/UTIL,7800,Final,OKC,34.04
SG,Desmond Bane (21833201) (LOCKED),Desmond Bane,21833201,SG/G/UTIL,7800,Final,MEM,31.80
PG,John Wall (21833198) (LOCKED),John Wall,21833198,PG/G/UTIL,7800,Final,HOU,0
C,Jarrett Allen (21833204) (LOCKED),Jarrett Allen,21833204,C/UTIL,7600,Final,CLE,36.32
PG,Malcolm Brogdon (21833206) (LOCKED),Malcolm Brogdon,21833206,PG/G/UTIL,7500,Final,IND,36.85
PF/C,Jaren Jackson Jr. (21833209) (LOCKED),Jaren Jackson Jr.,21833209,PF/C/F/UTIL,7400,Final,MEM,31.74
PF/C,Bobby Portis (21833213) (LOCKED),Bobby Portis,21833213,PF/C/F/UTIL,7400,Final,MIL,31.64
PG/SG,Tyler Herro (21833217) (LOCKED),Tyler Herro,21833217,PG/SG/G/UTIL,7300,Final,MIA,34.30
PF/C,Trendon Watford (21833221) (LOCKED),Trendon Watford,21833221,PF/C/F/UTIL,7200,Final,POR,17.20
PG,Cole Anthony (21833225) (LOCKED),Cole Anthony,21833225,PG/G/UTIL,7100,Final,ORL,33.4
PG,Brandon Williams (21833228) (LOCKED),Brandon Williams,21833228,PG/G/UTIL,7000,Final,POR,25.94
PG,Kyle Lowry (21833231) (LOCKED),Kyle Lowry,21833231,PG/G/UTIL,6800,Final,MIA,33.28
C,Steven Adams (21833234) (LOCKED),Steven Adams,21833234,C/UTIL,6600,Final,MEM,27.34
C,Drew Eubanks (21833236) (LOCKED),Drew Eubanks,21833236,C/UTIL,6600,Final,POR,17.35
PF/C,Kevin Love (21833238) (LOCKED),Kevin Love,21833238,PF/C/F/UTIL,6500,Final,CLE,27.52
PG,Lonzo Ball (21833242) (LOCKED),Lonzo Ball,21833242,PG/G/UTIL,6400,Final,CHI,33.46
SF/PF,Lauri Markkanen (21833248) (LOCKED),Lauri Markkanen,21833248,SF/PF/F/UTIL,6400,Final,CLE,26.79
SF,Bruce Brown (21833245) (LOCKED),Bruce Brown,21833245,SF/F/UTIL,6400,Final,BKN,20.57
SG/SF,Gary Trent Jr. (21833252) (LOCKED),Gary Trent Jr.,21833252,SG/SF/F/G/UTIL,6300,Final,TOR,29.63
PG,Kevin Porter Jr. (21833257) (LOCKED),Kevin Porter Jr.,21833257,PG/G/UTIL,6200,Final,HOU,32.26
PF,Luguentz Dort (21833260) (LOCKED),Luguentz Dort,21833260,PF/F/UTIL,6100,Final,OKC,27.90
PF/C,Darius Bazley (21833263) (LOCKED),Darius Bazley,21833263,PF/C/F/UTIL,6100,Final,OKC,24.59
PG/SG,Davion Mitchell (21833267) (LOCKED),Davion Mitchell,21833267,PG/SG/G/UTIL,6000,Final,SAC,21.80
SF/PF,Harrison Barnes (21833275) (LOCKED),Harrison Barnes,21833275,SF/PF/F/UTIL,6000,Final,SAC,29.76
SF/PF,Justise Winslow (21833271) (LOCKED),Justise Winslow,21833271,SF/PF/F/UTIL,6000,Final,POR,15.80
PG/SG,Victor Oladipo (21833279) (LOCKED),Victor Oladipo,21833279,PG/SG/G/UTIL,5900,Final,MIA,16.25
SG/SF,Seth Curry (21833283) (LOCKED),Seth Curry,21833283,SG/SF/F/G/UTIL,5900,Final,BKN,26.92
SF,Franz Wagner (21833288) (LOCKED),Franz Wagner,21833288,SF/F/UTIL,5900,Final,ORL,27.94
SF/PF,Aleksej Pokusevski (21833306) (LOCKED),Aleksej Pokusevski,21833306,SF/PF/F/UTIL,5800,Final,OKC,19.74
SG/SF,Dillon Brooks (21833301) (LOCKED),Dillon Brooks,21833301,SG/SF/F/G/UTIL,5800,Final,MEM,29.35
C,Andre Drummond (21833295) (LOCKED),Andre Drummond,21833295,C/UTIL,5800,Final,BKN,25.51
PF/C,Trey Lyles (21833310) (LOCKED),Trey Lyles,21833310,PF/C/F/UTIL,5800,Final,SAC,20.24
PF/C,Isaiah Jackson (21833291) (LOCKED),Isaiah Jackson,21833291,PF/C/F/UTIL,5800,Final,IND,16.93
PG/SG,Jalen Green (21833297) (LOCKED),Jalen Green,21833297,PG/SG/G/UTIL,5800,Final,HOU,26.95
PG/SG,Tre Mann (21833319) (LOCKED),Tre Mann,21833319,PG/SG/G/UTIL,5700,Final,OKC,18.45
C,Mo Bamba (21833314) (LOCKED),Mo Bamba,21833314,C/UTIL,5700,Final,ORL,27.19
PG,Malachi Flynn (21833316) (LOCKED),Malachi Flynn,21833316,PG/G/UTIL,5700,Final,TOR,9.77
SF/PF,Oshae Brissett (21833323) (LOCKED),Oshae Brissett,21833323,SF/PF/F/UTIL,5700,Final,IND,19.34
PG/SG,Caris LeVert (21833331) (LOCKED),Caris LeVert,21833331,PG/SG/G/UTIL,5600,Final,CLE,30.81
PF/C,Jalen Smith (21833327) (LOCKED),Jalen Smith,21833327,PF/C/F/UTIL,5600,Final,IND,19.5
PG,Terence Davis (21833335) (LOCKED),Terence Davis,21833335,PG/G/UTIL,5500,Final,SAC,18.95
C,Goga Bitadze (21833342) (LOCKED),Goga Bitadze,21833342,C/UTIL,5500,Final,IND,15.40
SG/SF,OG Anunoby (21833344) (LOCKED),OG Anunoby,21833344,SG/SF/F/G/UTIL,5500,Final,TOR,32.54
PF/C,Alperen Sengun (21833338) (LOCKED),Alperen Sengun,21833338,PF/C/F/UTIL,5500,Final,HOU,22.82
SF/PF,Aaron Gordon (21833356) (LOCKED),Aaron Gordon,21833356,SF/PF/F/UTIL,5400,Final,DEN,28.01
SG/SF,Donte DiVincenzo (21833351) (LOCKED),Donte DiVincenzo,21833351,SG/SF/F/G/UTIL,5400,Final,SAC,20.99
C,Myles Turner (21833349) (LOCKED),Myles Turner,21833349,C/UTIL,5400,Final,IND,30.62
SG,Will Barton (21833360) (LOCKED),Will Barton,21833360,SG/G/UTIL,5300,Final,DEN,29.24
PG/SG,De'Anthony Melton (21833363) (LOCKED),De'Anthony Melton,21833363,PG/SG/G/UTIL,5300,Final,MEM,24.46
PG/SG,Alex Caruso (21833377) (LOCKED),Alex Caruso,21833377,PG/SG/G/UTIL,5200,Final,CHI,22.17
PF,Michael Porter Jr. (21833367) (LOCKED),Michael Porter Jr.,21833367,PF/F/UTIL,5200,Final,DEN,23.64
PG/SG,Bones Hyland (21833373) (LOCKED),Bones Hyland,21833373,PG/SG/G/UTIL,5200,Final,DEN,19.43
PF,Chris Boucher (21833370) (LOCKED),Chris Boucher,21833370,PF/F/UTIL,5200,Final,TOR,20.88
PG/SG,Coby White (21833387) (LOCKED),Coby White,21833387,PG/SG/G/UTIL,5100,Final,CHI,22.55
PG,Tyus Jones (21833391) (LOCKED),Tyus Jones,21833391,PG/G/UTIL,5100,Final,MEM,20.42
PG,Goran Dragic (21833384) (LOCKED),Goran Dragic,21833384,PG/G/UTIL,5100,Final,BKN,19.25
PF,Nassir Little (21833381) (LOCKED),Nassir Little,21833381,PF/F/UTIL,5100,Final,POR,21.86
PF/C,Isaiah Roby (21833394) (LOCKED),Isaiah Roby,21833394,PF/C/F/UTIL,5000,Final,OKC,20.75
SF/PF,Chuma Okeke (21833398) (LOCKED),Chuma Okeke,21833398,SF/PF/F/UTIL,4800,Final,ORL,21.18
C,Precious Achiuwa (21833402) (LOCKED),Precious Achiuwa,21833402,C/UTIL,4800,Final,TOR,20.98
C,Brook Lopez (21833417) (LOCKED),Brook Lopez,21833417,C/UTIL,4700,Final,MIL,18.78
SF/PF,Kyle Anderson (21833419) (LOCKED),Kyle Anderson,21833419,SF/PF/F/UTIL,4700,Final,MEM,21.32
PG/SG,Jalen Suggs (21833408) (LOCKED),Jalen Suggs,21833408,PG/SG/G/UTIL,4700,Final,ORL,25.49
PG/SG,Dennis Schroder (21833404) (LOCKED),Dennis Schroder,21833404,PG/SG/G/UTIL,4700,Final,HOU,26.15
SG/SF,CJ Elleby (21833412) (LOCKED),CJ Elleby,21833412,SG/SF/F/G/UTIL,4700,Final,POR,14.22
PG,Ayo Dosunmu (21833448) (LOCKED),Ayo Dosunmu,21833448,PG/G/UTIL,4600,Final,CHI,19.06
PG,Monte Morris (21833423) (LOCKED),Monte Morris,21833423,PG/G/UTIL,4600,Final,DEN,25.35
PF,Kenrich Williams (21833442) (LOCKED),Kenrich Williams,21833442,PF/F/UTIL,4600,Final,OKC,18.48
SG/SF,Grayson Allen (21833431) (LOCKED),Grayson Allen,21833431,SG/SF/F/G/UTIL,4600,Final,MIL,20.36
PF/C,Brandon Clarke (21833438) (LOCKED),Brandon Clarke,21833438,PF/C/F/UTIL,4600,Final,MEM,22.5
C,Nicolas Claxton (21833436) (LOCKED),Nicolas Claxton,21833436,C/UTIL,4600,Final,BKN,20.03
SG/SF,Chris Duarte (21833426) (LOCKED),Chris Duarte,21833426,SG/SF/F/G/UTIL,4600,Final,IND,23.77
PG,Kris Dunn (21833445) (LOCKED),Kris Dunn,21833445,PG/G/UTIL,4600,Final,POR,23.15
SG,Jamal Murray (21833455) (LOCKED),Jamal Murray,21833455,SG/G/UTIL,4500,Final,DEN,0
SF/PF,Pat Connaughton (21833458) (LOCKED),Pat Connaughton,21833458,SF/PF/F/UTIL,4500,Final,MIL,20.39
PF/C,LaMarcus Aldridge (21833451) (LOCKED),LaMarcus Aldridge,21833451,PF/C/F/UTIL,4500,Final,BKN,24.28
C,Damian Jones (21833462) (LOCKED),Damian Jones,21833462,C/UTIL,4400,Final,SAC,16.94
PF/C,Moritz Wagner (21833467) (LOCKED),Moritz Wagner,21833467,PF/C/F/UTIL,4400,Final,ORL,16.08
PG,Eric Bledsoe (21833464) (LOCKED),Eric Bledsoe,21833464,PG/G/UTIL,4400,Final,POR,23.06
PG,Markelle Fultz (21833471) (LOCKED),Markelle Fultz,21833471,PG/G/UTIL,4300,Final,ORL,23.07
PG/SG,R.J. Hampton (21833474) (LOCKED),R.J. Hampton,21833474,PG/SG/G/UTIL,4200,Final,ORL,16.02
PF,Jae'Sean Tate (21833478) (LOCKED),Jae'Sean Tate,21833478,PF/F/UTIL,4200,Final,HOU,25.50
SG/SF,Isaac Okoro (21833486) (LOCKED),Isaac Okoro,21833486,SG/SF/F/G/UTIL,4100,Final,CLE,17.90
C,DeMarcus Cousins (21833481) (LOCKED),DeMarcus Cousins,21833481,C/UTIL,4100,Final,DEN,20.3
SF,Aaron Wiggins (21833500) (LOCKED),Aaron Wiggins,21833500,SF/F/UTIL,4100,Final,OKC,16.29
PG/SG,Jevon Carter (21833503) (LOCKED),Jevon Carter,21833503,PG/SG/G/UTIL,4100,Final,MIL,9.83
SG/SF,Max Strus (21833495) (LOCKED),Max Strus,21833495,SG/SF/F/G/UTIL,4100,Final,MIA,18.62
PG,T.J. McConnell (21833483) (LOCKED),T.J. McConnell,21833483,PG/G/UTIL,4100,Final,IND,22.19
PF/C,Terry Taylor (21833491) (LOCKED),Terry Taylor,21833491,PF/C/F/UTIL,4100,Final,IND,18.96
PG,Rajon Rondo (21833510) (LOCKED),Rajon Rondo,21833510,PG/G/UTIL,4000,Final,CLE,16.02
PF,Chimezie Metu (21833507) (LOCKED),Chimezie Metu,21833507,PF/F/UTIL,4000,Final,SAC,20.02
SF,Justin Anderson (21833513) (LOCKED),Justin Anderson,21833513,SF/F/UTIL,4000,Final,IND,15.7
SG,Ben McLemore (21833516) (LOCKED),Ben McLemore,21833516,SG/G/UTIL,4000,Final,POR,15.45
SG/SF,Lamar Stevens (21833522) (LOCKED),Lamar Stevens,21833522,SG/SF/F/G/UTIL,3900,Final,CLE,11.78
SF,Caleb Martin (21833527) (LOCKED),Caleb Martin,21833527,SF/F/UTIL,3900,Final,MIA,18.70
SG,Justin Holiday (21833519) (LOCKED),Justin Holiday,21833519,SG/G/UTIL,3900,Final,SAC,19.02
SG/SF,Cedi Osman (21833538) (LOCKED),Cedi Osman,21833538,SG/SF/F/G/UTIL,3800,Final,CLE,18.94
PG,Theo Maledon (21833530) (LOCKED),Theo Maledon,21833530,PG/G/UTIL,3800,Final,OKC,15.02
C,Richaun Holmes (21833548) (LOCKED),Richaun Holmes,21833548,C/UTIL,3800,Final,SAC,23.05
PG/SF,Lance Stephenson (21833533) (LOCKED),Lance Stephenson,21833533,PG/SF/F/G/UTIL,3800,Final,IND,17.83
SG/SF,Keon Johnson (21833543) (LOCKED),Keon Johnson,21833543,SG/SF/F/G/UTIL,3800,Final,POR,13.54
PG,Ty Jerome (21833550) (LOCKED),Ty Jerome,21833550,PG/G/UTIL,3700,Final,OKC,14.16
SG/SF,John Konchar (21833553) (LOCKED),John Konchar,21833553,SG/SF/F/G/UTIL,3700,Final,MEM,14.56
SG,Joe Harris (21833558) (LOCKED),Joe Harris,21833558,SG/G/UTIL,3700,Final,BKN,20.11
SG,Duncan Robinson (21833561) (LOCKED),Duncan Robinson,21833561,SG/G/UTIL,3700,Final,MIA,18.91
PG/SG,Vit Krejci (21833564) (LOCKED),Vit Krejci,21833564,PG/SG/G/UTIL,3600,Final,OKC,13.77
SF/PF,Jeff Green (21833572) (LOCKED),Jeff Green,21833572,SF/PF/F/UTIL,3600,Final,DEN,17.43
PF/C,Serge Ibaka (21833568) (LOCKED),Serge Ibaka,21833568,PF/C/F/UTIL,3600,Final,MIL,15.61
PF,P.J. Tucker (21833579) (LOCKED),P.J. Tucker,21833579,PF/F/UTIL,3600,Final,MIA,19.8
SF,Jeremy Lamb (21833576) (LOCKED),Jeremy Lamb,21833576,SF/F/UTIL,3600,Final,SAC,14.71
SF,Dean Wade (21833586) (LOCKED),Dean Wade,21833586,SF/F/UTIL,3500,Final,CLE,12.26
SF,Javonte Green (21833589) (LOCKED),Javonte Green,21833589,SF/F/UTIL,3500,Final,CHI,16.87
PF/C,JaMychal Green (21833599) (LOCKED),JaMychal Green,21833599,PF/C/F/UTIL,3500,Final,DEN,14.83
SF,Ziaire Williams (21833596) (LOCKED),Ziaire Williams,21833596,SF/F/UTIL,3500,Final,MEM,13.49
PG/SG,Patty Mills (21833592) (LOCKED),Patty Mills,21833592,PG/SG/G/UTIL,3500,Final,BKN,20.06
C,Khem Birch (21833603) (LOCKED),Khem Birch,21833603,C/UTIL,3500,Final,TOR,13.06
PF/C,KJ Martin (21833582) (LOCKED),KJ Martin,21833582,PF/C/F/UTIL,3500,Final,HOU,17.56
PF/C,Greg Brown (21833605) (LOCKED),Greg Brown,21833605,PF/C/F/UTIL,3500,Final,POR,10.70
SG,DeAndre' Bembry (21833617) (LOCKED),DeAndre' Bembry,21833617,SG/G/UTIL,3400,Final,MIL,12.98
PG,Gabe Vincent (21833620) (LOCKED),Gabe Vincent,21833620,PG/G/UTIL,3400,Final,MIA,18.22
SG/SF,Cameron Thomas (21833623) (LOCKED),Cameron Thomas,21833623,SG/SF/F/G/UTIL,3400,Final,BKN,14.96
PG,Michael Carter-Williams (21833614) (LOCKED),Michael Carter-Williams,21833614,PG/G/UTIL,3400,Final,ORL,0
PG/SG,Jeff Dowtin (21833628) (LOCKED),Jeff Dowtin,21833628,PG/SG/G/UTIL,3400,Final,ORL,7.39
SG,Duane Washington Jr. (21833632) (LOCKED),Duane Washington Jr.,21833632,SG/G/UTIL,3400,Final,IND,15.83
PG,Dalano Banton (21833635) (LOCKED),Dalano Banton,21833635,PG/G/UTIL,3400,Final,TOR,8.87
SG/SF,Eric Gordon (21833609) (LOCKED),Eric Gordon,21833609,SG/SF/F/G/UTIL,3400,Final,HOU,21.72
SF/PF,Patrick Williams (21833645) (LOCKED),Patrick Williams,21833645,SF/PF/F/UTIL,3300,Final,CHI,14.5
SG,Bryn Forbes (21833666) (LOCKED),Bryn Forbes,21833666,SG/G/UTIL,3300,Final,DEN,13.02
C,Xavier Tillman (21833643) (LOCKED),Xavier Tillman,21833643,C/UTIL,3300,Final,MEM,12.62
SF/PF,Jordan Nwora (21833669) (LOCKED),Jordan Nwora,21833669,SF/PF/F/UTIL,3300,Final,MIL,15.22
PF,Kessler Edwards (21833656) (LOCKED),Kessler Edwards,21833656,PF/F/UTIL,3300,Final,BKN,13.36
SG/SF,Terrence Ross (21833649) (LOCKED),Terrence Ross,21833649,SG/SF/F/G/UTIL,3300,Final,ORL,17.23
C,Alex Len (21833654) (LOCKED),Alex Len,21833654,C/UTIL,3300,Final,SAC,14.47
PF/C,Thaddeus Young (21833659) (LOCKED),Thaddeus Young,21833659,PF/C/F/UTIL,3300,Final,TOR,16.21
SG/SF,Josh Christopher (21833638) (LOCKED),Josh Christopher,21833638,SG/SF/F/G/UTIL,3300,Final,HOU,15.49
SF,Elijah Hughes (21833663) (LOCKED),Elijah Hughes,21833663,SF/F/UTIL,3300,Final,POR,7.45
C,Tristan Thompson (21833681) (LOCKED),Tristan Thompson,21833681,C/UTIL,3200,Final,CHI,14.36
SG/SF,Austin Rivers (21833683) (LOCKED),Austin Rivers,21833683,SG/SF/F/G/UTIL,3200,Final,DEN,11.98
C,Derrick Favors (21833688) (LOCKED),Derrick Favors,21833688,C/UTIL,3200,Final,OKC,13.58
SG/SF,Wesley Matthews (21833673) (LOCKED),Wesley Matthews,21833673,SG/SF/F/G/UTIL,3200,Final,MIL,9.94
PF/C,James Johnson (21833693) (LOCKED),James Johnson,21833693,PF/C/F/UTIL,3200,Final,BKN,14.85
